Verb,Description,GUI,WARNING
EditSelectSameStrokeStyle," Select all objects with the same stroke style (width, dash, markers) as the selected objects",TRUE,WARNING: ignoring verb EditSelectSameStrokeStyle - GUI required for this verb.
EditSelectSameObjectType," Select all objects with the same object type (rect, arc, text, path, bitmap etc) as the selected objects (Shift+Alt+A)",TRUE,WARNING: ignoring verb EditSelectSameObjectType - GUI required for this verb.
EditInvert, Invert selection (unselect what is selected and select everything else) (!),TRUE,WARNING: ignoring verb EditInvert - GUI required for this verb.
EditInvertInAllLayers, Invert selection in all visible and unlocked layers (Alt+!),TRUE,WARNING: ignoring verb EditInvertInAllLayers - GUI required for this verb.
EditSelectNext, Select next object or node (Tab),TRUE,WARNING: ignoring verb EditSelectNext - GUI required for this verb.
EditSelectPrev, Select previous object or node (Left Tab),TRUE,WARNING: ignoring verb EditSelectPrev - GUI required for this verb.
EditDeselect, Deselect any selected objects or nodes (Escape),TRUE,WARNING: ignoring verb EditDeselect - GUI required for this verb.
EditRemoveAllGuides, Delete all the guides in the document,TRUE,WARNING: ignoring verb EditRemoveAllGuides - GUI required for this verb.
EditGuidesToggleLock, Toggle lock of all guides in the document,TRUE,WARNING: ignoring verb EditGuidesToggleLock - GUI required for this verb.
EditGuidesAroundPage, Create four guides aligned with the page borders,TRUE,WARNING: ignoring verb EditGuidesAroundPage - GUI required for this verb.
EditNextPathEffectParameter, Show next editable path effect parameter (7),TRUE,WARNING: ignoring verb EditNextPathEffectParameter - GUI required for this verb.
EditSwapFillStroke, Swap fill and stroke of an object,TRUE,WARNING: ignoring verb EditSwapFillStroke - GUI required for this verb.
SelectionToFront, Raise selection to top (Home),FALSE,Select <b>object(s)</b> to raise.
SelectionToBack, Lower selection to bottom (End),FALSE,NA
SelectionRaise, Raise selection one step (Page Up),FALSE,Select <b>object(s)</b> to raise.
SelectionLower, Lower selection one step (Page Down),FALSE,Select <b>object(s)</b> to lower.
SelectionStackUp, Stack selection one step up,FALSE,Select <b>object(s)</b> to stack up.
SelectionStackDown, Stack selection one step down,FALSE,Select <b>object(s)</b> to stack down.
SelectionGroup, Group selected objects (Ctrl+G),FALSE,NA
SelectionUnGroup, Ungroup selected groups (Shift+Ctrl+G),FALSE,NA
SelectionUnGroupPopSelection, Pop selected objects out of group,FALSE,<b>No objects selected</b> to pop out of group.
SelectionTextToPath, Put text on path,TRUE,WARNING: ignoring verb SelectionTextToPath - GUI required for this verb.
SelectionTextFromPath, Remove text from path,TRUE,WARNING: ignoring verb SelectionTextFromPath - GUI required for this verb.
SelectionTextRemoveKerns, Remove all manual kerns and glyph rotations from a text object,TRUE,WARNING: ignoring verb SelectionTextRemoveKerns - GUI required for this verb.
SelectionUnion, Create union of selected paths (Ctrl++),FALSE,NA
SelectionIntersect, Create intersection of selected paths (Ctrl+*),FALSE,NA
SelectionDiff, Create difference of selected paths (bottom minus top) (Ctrl+-),FALSE,NA
SelectionSymDiff, Create exclusive OR of selected paths (those parts that belong to only one path) (Ctrl+^),FALSE,NA
SelectionDivide, Cut the bottom path into pieces (Ctrl+/),FALSE,NA
SelectionCutPath," Cut the bottom path's stroke into pieces, removing fill (Ctrl+Alt+/)",FALSE,NA
SelectionGrow, Make selected objects bigger (.),FALSE,NA
SelectionGrowScreen, Make selected objects bigger relative to screen,FALSE,NA
SelectionGrowDouble, Double the size of selected objects,FALSE,NA
SelectionShrink," Make selected objects smaller (,)",FALSE,NA
SelectionShrinkScreen, Make selected objects smaller relative to screen,FALSE,NA
SelectionShrinkHalve, Halve the size of selected objects,FALSE,NA
SelectionOffset, Outset selected paths (Ctrl+)),TRUE,WARNING: ignoring verb SelectionOffset - GUI required for this verb.
SelectionOffsetScreen, Outset selected paths by 1 px (Alt+)),TRUE,WARNING: ignoring verb SelectionOffsetScreen - GUI required for this verb.
SelectionOffsetScreen10, Outset selected paths by 10 px (Shift+Alt+)),TRUE,WARNING: ignoring verb SelectionOffsetScreen10 - GUI required for this verb.
SelectionInset, Inset selected paths (Ctrl+(),TRUE,WARNING: ignoring verb SelectionInset - GUI required for this verb.
SelectionInsetScreen, Inset selected paths by 1 px (Alt+(),TRUE,WARNING: ignoring verb SelectionInsetScreen - GUI required for this verb.
SelectionInsetScreen10, Inset selected paths by 10 px (Shift+Alt+(),TRUE,WARNING: ignoring verb SelectionInsetScreen10 - GUI required for this verb.
SelectionDynOffset, Create a dynamic offset object (Ctrl+J),TRUE,WARNING: ignoring verb SelectionDynOffset - GUI required for this verb.
SelectionLinkedOffset, Create a dynamic offset object linked to the original path (Ctrl+Alt+J),TRUE,WARNING: ignoring verb SelectionLinkedOffset - GUI required for this verb.
StrokeToPath, Convert selected object's stroke to paths (Ctrl+Alt+C),TRUE,WARNING: ignoring verb StrokeToPath - GUI required for this verb.
StrokeToPathLegacy, Convert selected object's stroke to paths legacy mode,TRUE,WARNING: ignoring verb StrokeToPathLegacy - GUI required for this verb.
SelectionSimplify, Simplify selected paths (remove extra nodes) (Ctrl+L),TRUE,WARNING: ignoring verb SelectionSimplify - GUI required for this verb.
SelectionReverse, Reverse the direction of selected paths (useful for flipping markers),TRUE,WARNING: ignoring verb SelectionReverse - GUI required for this verb.
SelectionTrace, Create one or more paths from a bitmap by tracing it (Shift+Alt+B),TRUE,WARNING: ignoring verb SelectionTrace - GUI required for this verb.
SelectionCreateBitmap, Export selection to a bitmap and insert it into document (Alt+B),TRUE,WARNING: ignoring verb SelectionCreateBitmap - GUI required for this verb.
SelectionCombine, Combine several paths into one (Ctrl+K),TRUE,WARNING: ignoring verb SelectionCombine - GUI required for this verb.
SelectionBreakApart, Break selected paths into subpaths (Shift+Ctrl+K),TRUE,WARNING: ignoring verb SelectionBreakApart - GUI required for this verb.
DialogArrange, Arrange selected objects in a table or circle,TRUE,WARNING: ignoring verb DialogArrange - GUI required for this verb.
LayerNew, Create a new layer,TRUE,WARNING: ignoring verb LayerNew - GUI required for this verb.
