Verb,Description,GUI,WARNING
EditPasteHeight, Scale selection vertically to match the height of the copied object,TRUE,"WARNING: ignoring verb EditPasteHeight - GUI required for this verb.

** (org.inkscape.Inkscape:17020): CRITICAL **: 19:36:16.651: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
EditPasteSizeSeparately, Scale each selected object to match the size of the copied object,TRUE,"WARNING: ignoring verb EditPasteSizeSeparately - GUI required for this verb.

** (org.inkscape.Inkscape:728): CRITICAL **: 19:36:19.014: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
EditPasteWidthSeparately, Scale each selected object horizontally to match the width of the copied object,TRUE,"WARNING: ignoring verb EditPasteWidthSeparately - GUI required for this verb.

** (org.inkscape.Inkscape:3096): CRITICAL **: 19:36:21.489: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
EditPasteHeightSeparately, Scale each selected object vertically to match the height of the copied object,TRUE,"WARNING: ignoring verb EditPasteHeightSeparately - GUI required for this verb.

** (org.inkscape.Inkscape:604): CRITICAL **: 19:36:23.859: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
EditPasteInPlace, Paste objects from clipboard to the original location (Ctrl+Alt+V),TRUE,"WARNING: ignoring verb EditPasteInPlace - GUI required for this verb.

** (org.inkscape.Inkscape:3360): CRITICAL **: 19:36:26.108: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
PasteLivePathEffect, Apply the path effect of the copied object to selection (&),TRUE,"WARNING: ignoring verb PasteLivePathEffect - GUI required for this verb.

** (org.inkscape.Inkscape:3428): CRITICAL **: 19:36:28.509: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
RemoveLivePathEffect, Remove any path effects from selected objects,TRUE,"WARNING: ignoring verb RemoveLivePathEffect - GUI required for this verb.

** (org.inkscape.Inkscape:19408): CRITICAL **: 19:36:30.835: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
RemoveFilter, Remove any filters from selected objects,TRUE,"WARNING: ignoring verb RemoveFilter - GUI required for this verb.

** (org.inkscape.Inkscape:7108): CRITICAL **: 19:36:33.186: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
EditDelete, Delete selection (Delete),TRUE,"WARNING: ignoring verb EditDelete - GUI required for this verb.

** (org.inkscape.Inkscape:1584): CRITICAL **: 19:36:35.609: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
EditDuplicate, Duplicate Selected Objects (Ctrl+D),TRUE,"WARNING: ignoring verb EditDuplicate - GUI required for this verb.

** (org.inkscape.Inkscape:20192): CRITICAL **: 19:36:37.989: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
EditClone, Create a clone (a copy linked to the original) of selected object (Alt+D),TRUE,"WARNING: ignoring verb EditClone - GUI required for this verb.

** (org.inkscape.Inkscape:11956): CRITICAL **: 19:36:40.419: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
EditUnlinkClone," Cut the selected clones' links to the originals, turning them into standalone objects (Shift+Alt+D)",TRUE,"WARNING: ignoring verb EditUnlinkClone - GUI required for this verb.

** (org.inkscape.Inkscape:11440): CRITICAL **: 19:36:42.792: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
EditUnlinkCloneRecursive," Unlink all clones in the selection, even if they are in groups.",TRUE,"WARNING: ignoring verb EditUnlinkCloneRecursive - GUI required for this verb.

** (org.inkscape.Inkscape:14608): CRITICAL **: 19:36:45.129: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
EditRelinkClone, Relink the selected clones to the object currently on the clipboard,TRUE,"WARNING: ignoring verb EditRelinkClone - GUI required for this verb.

** (org.inkscape.Inkscape:15212): CRITICAL **: 19:36:47.444: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
EditCloneSelectOriginal, Select the object to which the selected clone is linked (Shift+D),TRUE,"WARNING: ignoring verb EditCloneSelectOriginal - GUI required for this verb.

** (org.inkscape.Inkscape:17360): CRITICAL **: 19:36:49.859: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
EditCloneOriginalPathLPE," Creates a new path, applies the Clone original LPE, and refers it to the selected path",TRUE,"WARNING: ignoring verb EditCloneOriginalPathLPE - GUI required for this verb.

** (org.inkscape.Inkscape:11708): CRITICAL **: 19:36:52.219: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
ObjectsToMarker, Convert selection to a line marker,TRUE,"WARNING: ignoring verb ObjectsToMarker - GUI required for this verb.

** (org.inkscape.Inkscape:9896): CRITICAL **: 19:36:54.569: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
ObjectsToGuides, Convert selected objects to a collection of guidelines aligned with their edges (Shift+G),TRUE,"WARNING: ignoring verb ObjectsToGuides - GUI required for this verb.

** (org.inkscape.Inkscape:17308): CRITICAL **: 19:36:56.939: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
ObjectsToPattern, Convert selection to a rectangle with tiled pattern fill (Alt+I),TRUE,"WARNING: ignoring verb ObjectsToPattern - GUI required for this verb.

** (org.inkscape.Inkscape:15812): CRITICAL **: 19:36:59.444: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
ObjectsFromPattern, Extract objects from a tiled pattern fill (Shift+Alt+I),TRUE,"WARNING: ignoring verb ObjectsFromPattern - GUI required for this verb.

** (org.inkscape.Inkscape:14784): CRITICAL **: 19:37:01.849: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
ObjectsToSymbol, Convert group to a symbol,TRUE,"WARNING: ignoring verb ObjectsToSymbol - GUI required for this verb.

** (org.inkscape.Inkscape:8636): CRITICAL **: 19:37:04.249: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
ObjectsFromSymbol, Extract group from a symbol,TRUE,"WARNING: ignoring verb ObjectsFromSymbol - GUI required for this verb.

** (org.inkscape.Inkscape:16916): CRITICAL **: 19:37:06.758: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
EditClearAll, Delete all objects from document,FALSE,
EditSelectAll, Select all objects or all nodes (Ctrl+A),TRUE,"WARNING: ignoring verb EditSelectAll - GUI required for this verb.

** (org.inkscape.Inkscape:12228): CRITICAL **: 19:37:11.410: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
EditSelectAllInAllLayers, Select all objects in all visible and unlocked layers (Ctrl+Alt+A),TRUE,"WARNING: ignoring verb EditSelectAllInAllLayers - GUI required for this verb.

** (org.inkscape.Inkscape:14204): CRITICAL **: 19:37:13.759: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
EditSelectSameFillStroke, Select all objects with the same fill and stroke as the selected objects,TRUE,"WARNING: ignoring verb EditSelectSameFillStroke - GUI required for this verb.

** (org.inkscape.Inkscape:2248): CRITICAL **: 19:37:16.276: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
EditSelectSameFillColor, Select all objects with the same fill as the selected objects,TRUE,"WARNING: ignoring verb EditSelectSameFillColor - GUI required for this verb.

** (org.inkscape.Inkscape:2156): CRITICAL **: 19:37:18.749: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
EditSelectSameStrokeColor, Select all objects with the same stroke as the selected objects,TRUE,"WARNING: ignoring verb EditSelectSameStrokeColor - GUI required for this verb.

** (org.inkscape.Inkscape:14684): CRITICAL **: 19:37:21.129: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
EditSelectSameStrokeStyle," Select all objects with the same stroke style (width, dash, markers) as the selected objects",TRUE,"WARNING: ignoring verb EditSelectSameStrokeStyle - GUI required for this verb.

** (org.inkscape.Inkscape:5428): CRITICAL **: 19:37:23.489: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
EditSelectSameObjectType," Select all objects with the same object type (rect, arc, text, path, bitmap etc) as the selected objects (Shift+Alt+A)",TRUE,"WARNING: ignoring verb EditSelectSameObjectType - GUI required for this verb.

** (org.inkscape.Inkscape:19448): CRITICAL **: 19:37:25.973: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
EditInvert, Invert selection (unselect what is selected and select everything else) (!),TRUE,"WARNING: ignoring verb EditInvert - GUI required for this verb.

** (org.inkscape.Inkscape:11020): CRITICAL **: 19:37:28.299: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
EditInvertInAllLayers, Invert selection in all visible and unlocked layers (Alt+!),TRUE,"WARNING: ignoring verb EditInvertInAllLayers - GUI required for this verb.

** (org.inkscape.Inkscape:16516): CRITICAL **: 19:37:30.839: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
EditSelectNext, Select next object or node (Tab),TRUE,"WARNING: ignoring verb EditSelectNext - GUI required for this verb.

** (org.inkscape.Inkscape:18580): CRITICAL **: 19:37:33.209: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
EditSelectPrev, Select previous object or node (Left Tab),TRUE,"WARNING: ignoring verb EditSelectPrev - GUI required for this verb.

** (org.inkscape.Inkscape:17548): CRITICAL **: 19:37:35.631: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
EditDeselect, Deselect any selected objects or nodes (Escape),TRUE,"WARNING: ignoring verb EditDeselect - GUI required for this verb.

** (org.inkscape.Inkscape:16760): CRITICAL **: 19:37:37.974: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
EditRemoveAllGuides, Delete all the guides in the document,TRUE,"WARNING: ignoring verb EditRemoveAllGuides - GUI required for this verb.

** (org.inkscape.Inkscape:13248): CRITICAL **: 19:37:40.439: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
EditGuidesToggleLock, Toggle lock of all guides in the document,TRUE,"WARNING: ignoring verb EditGuidesToggleLock - GUI required for this verb.

** (org.inkscape.Inkscape:13464): CRITICAL **: 19:37:42.889: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
EditGuidesAroundPage, Create four guides aligned with the page borders,TRUE,"WARNING: ignoring verb EditGuidesAroundPage - GUI required for this verb.

** (org.inkscape.Inkscape:10192): CRITICAL **: 19:37:45.246: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
EditNextPathEffectParameter, Show next editable path effect parameter (7),TRUE,"WARNING: ignoring verb EditNextPathEffectParameter - GUI required for this verb.

** (org.inkscape.Inkscape:9924): CRITICAL **: 19:37:47.649: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
EditSwapFillStroke, Swap fill and stroke of an object,TRUE,"WARNING: ignoring verb EditSwapFillStroke - GUI required for this verb.

** (org.inkscape.Inkscape:692): CRITICAL **: 19:37:49.964: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
SelectionToFront, Raise selection to top (Home),FALSE,Select <b>object(s)</b> to raise.
SelectionToBack, Lower selection to bottom (End),FALSE,
SelectionRaise, Raise selection one step (Page Up),FALSE,Select <b>object(s)</b> to raise.
SelectionLower, Lower selection one step (Page Down),FALSE,Select <b>object(s)</b> to lower.
SelectionStackUp, Stack selection one step up,FALSE,Select <b>object(s)</b> to stack up.
SelectionStackDown, Stack selection one step down,FALSE,Select <b>object(s)</b> to stack down.
SelectionGroup, Group selected objects (Ctrl+G),FALSE,
SelectionUnGroup, Ungroup selected groups (Shift+Ctrl+G),FALSE,
SelectionUnGroupPopSelection, Pop selected objects out of group,FALSE,<b>No objects selected</b> to pop out of group.
SelectionTextToPath, Put text on path,TRUE,"WARNING: ignoring verb SelectionTextToPath - GUI required for this verb.

** (org.inkscape.Inkscape:11320): CRITICAL **: 19:38:13.584: static void Inkscape::SelectionVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
SelectionTextFromPath, Remove text from path,TRUE,"WARNING: ignoring verb SelectionTextFromPath - GUI required for this verb.

** (org.inkscape.Inkscape:17848): CRITICAL **: 19:38:16.059: static void Inkscape::SelectionVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
SelectionTextRemoveKerns, Remove all manual kerns and glyph rotations from a text object,TRUE,"WARNING: ignoring verb SelectionTextRemoveKerns - GUI required for this verb.

** (org.inkscape.Inkscape:19732): CRITICAL **: 19:38:18.329: static void Inkscape::SelectionVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
SelectionUnion, Create union of selected paths (Ctrl++),FALSE,
SelectionIntersect, Create intersection of selected paths (Ctrl+*),FALSE,
SelectionDiff, Create difference of selected paths (bottom minus top) (Ctrl+-),FALSE,
SelectionSymDiff, Create exclusive OR of selected paths (those parts that belong to only one path) (Ctrl+^),FALSE,
SelectionDivide, Cut the bottom path into pieces (Ctrl+/),FALSE,
SelectionCutPath," Cut the bottom path's stroke into pieces, removing fill (Ctrl+Alt+/)",FALSE,
SelectionGrow, Make selected objects bigger (.),FALSE,
SelectionGrowScreen, Make selected objects bigger relative to screen,FALSE,
SelectionGrowDouble, Double the size of selected objects,FALSE,
SelectionShrink," Make selected objects smaller (,)",FALSE,
SelectionShrinkScreen, Make selected objects smaller relative to screen,FALSE,
SelectionShrinkHalve, Halve the size of selected objects,FALSE,
SelectionOffset, Outset selected paths (Ctrl+)),TRUE,"WARNING: ignoring verb SelectionOffset - GUI required for this verb.

** (org.inkscape.Inkscape:19392): CRITICAL **: 19:38:47.963: static void Inkscape::SelectionVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
SelectionOffsetScreen, Outset selected paths by 1 px (Alt+)),TRUE,"WARNING: ignoring verb SelectionOffsetScreen - GUI required for this verb.

** (org.inkscape.Inkscape:13328): CRITICAL **: 19:38:50.327: static void Inkscape::SelectionVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
SelectionOffsetScreen10, Outset selected paths by 10 px (Shift+Alt+)),TRUE,"WARNING: ignoring verb SelectionOffsetScreen10 - GUI required for this verb.

** (org.inkscape.Inkscape:17800): CRITICAL **: 19:38:52.630: static void Inkscape::SelectionVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
SelectionInset, Inset selected paths (Ctrl+(),TRUE,"WARNING: ignoring verb SelectionInset - GUI required for this verb.

** (org.inkscape.Inkscape:1460): CRITICAL **: 19:38:55.048: static void Inkscape::SelectionVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
SelectionInsetScreen, Inset selected paths by 1 px (Alt+(),TRUE,"WARNING: ignoring verb SelectionInsetScreen - GUI required for this verb.

** (org.inkscape.Inkscape:15376): CRITICAL **: 19:38:57.370: static void Inkscape::SelectionVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
SelectionInsetScreen10, Inset selected paths by 10 px (Shift+Alt+(),TRUE,"WARNING: ignoring verb SelectionInsetScreen10 - GUI required for this verb.

** (org.inkscape.Inkscape:14988): CRITICAL **: 19:38:59.701: static void Inkscape::SelectionVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
SelectionDynOffset, Create a dynamic offset object (Ctrl+J),TRUE,"WARNING: ignoring verb SelectionDynOffset - GUI required for this verb.

** (org.inkscape.Inkscape:12108): CRITICAL **: 19:39:02.048: static void Inkscape::SelectionVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
SelectionLinkedOffset, Create a dynamic offset object linked to the original path (Ctrl+Alt+J),TRUE,"WARNING: ignoring verb SelectionLinkedOffset - GUI required for this verb.

** (org.inkscape.Inkscape:5772): CRITICAL **: 19:39:04.364: static void Inkscape::SelectionVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
StrokeToPath, Convert selected object's stroke to paths (Ctrl+Alt+C),TRUE,"WARNING: ignoring verb StrokeToPath - GUI required for this verb.

** (org.inkscape.Inkscape:3096): CRITICAL **: 19:39:06.698: static void Inkscape::SelectionVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
StrokeToPathLegacy, Convert selected object's stroke to paths legacy mode,TRUE,"WARNING: ignoring verb StrokeToPathLegacy - GUI required for this verb.

** (org.inkscape.Inkscape:9436): CRITICAL **: 19:39:09.099: static void Inkscape::SelectionVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
SelectionSimplify, Simplify selected paths (remove extra nodes) (Ctrl+L),TRUE,"WARNING: ignoring verb SelectionSimplify - GUI required for this verb.

** (org.inkscape.Inkscape:1740): CRITICAL **: 19:39:11.418: static void Inkscape::SelectionVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
SelectionReverse, Reverse the direction of selected paths (useful for flipping markers),TRUE,"WARNING: ignoring verb SelectionReverse - GUI required for this verb.

** (org.inkscape.Inkscape:15328): CRITICAL **: 19:39:13.821: static void Inkscape::SelectionVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
SelectionTrace, Create one or more paths from a bitmap by tracing it (Shift+Alt+B),TRUE,"WARNING: ignoring verb SelectionTrace - GUI required for this verb.

** (org.inkscape.Inkscape:5560): CRITICAL **: 19:39:16.260: static void Inkscape::SelectionVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
SelectionCreateBitmap, Export selection to a bitmap and insert it into document (Alt+B),TRUE,"WARNING: ignoring verb SelectionCreateBitmap - GUI required for this verb.

** (org.inkscape.Inkscape:16744): CRITICAL **: 19:39:18.548: static void Inkscape::SelectionVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
SelectionCombine, Combine several paths into one (Ctrl+K),TRUE,"WARNING: ignoring verb SelectionCombine - GUI required for this verb.

** (org.inkscape.Inkscape:7652): CRITICAL **: 19:39:20.948: static void Inkscape::SelectionVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
SelectionBreakApart, Break selected paths into subpaths (Shift+Ctrl+K),TRUE,"WARNING: ignoring verb SelectionBreakApart - GUI required for this verb.

** (org.inkscape.Inkscape:12052): CRITICAL **: 19:39:23.313: static void Inkscape::SelectionVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
DialogArrange, Arrange selected objects in a table or circle,TRUE,"WARNING: ignoring verb DialogArrange - GUI required for this verb.

** (org.inkscape.Inkscape:7688): CRITICAL **: 19:39:25.687: static void Inkscape::SelectionVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
LayerNew, Create a new layer,TRUE,"WARNING: ignoring verb LayerNew - GUI required for this verb.

** (org.inkscape.Inkscape:2636): CRITICAL **: 19:39:28.006: static void Inkscape::LayerVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
LayerRename, Rename the current layer,TRUE,"WARNING: ignoring verb LayerRename - GUI required for this verb.

** (org.inkscape.Inkscape:16704): CRITICAL **: 19:39:30.334: static void Inkscape::LayerVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
