Verb,Description,GUI,WARNING
ViewSplitModeToggle, Split canvas in 2 to show outline (Ctrl+6),TRUE,"WARNING: ignoring verb ViewSplitModeToggle - GUI required for this verb.

** (org.inkscape.Inkscape:17068): CRITICAL **: 19:44:30.027: static void Inkscape::ZoomVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
ViewXRayToggle, XRay around cursor (Alt+6),TRUE,"WARNING: ignoring verb ViewXRayToggle - GUI required for this verb.

** (org.inkscape.Inkscape:12408): CRITICAL **: 19:44:32.367: static void Inkscape::ZoomVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
ViewCmsToggle, Toggle color-managed display for this document window,TRUE,"WARNING: ignoring verb ViewCmsToggle - GUI required for this verb.

** (org.inkscape.Inkscape:15916): CRITICAL **: 19:44:34.787: static void Inkscape::ZoomVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
ViewIconPreview, Open a window to preview objects at different icon resolutions,TRUE,"WARNING: ignoring verb ViewIconPreview - GUI required for this verb.

** (org.inkscape.Inkscape:14524): CRITICAL **: 19:44:37.108: static void Inkscape::ZoomVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
DialogPrototype, Prototype Dialog,TRUE,"WARNING: ignoring verb DialogPrototype - GUI required for this verb.

** (org.inkscape.Inkscape:3528): CRITICAL **: 19:44:39.505: static void Inkscape::DialogVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
DialogPreferences, Edit global Inkscape preferences (Shift+Ctrl+P),TRUE,"WARNING: ignoring verb DialogPreferences - GUI required for this verb.

** (org.inkscape.Inkscape:9388): CRITICAL **: 19:44:41.777: static void Inkscape::DialogVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
DialogDocumentProperties, Edit properties of this document (to be saved with the document) (Shift+Ctrl+D),TRUE,"WARNING: ignoring verb DialogDocumentProperties - GUI required for this verb.

** (org.inkscape.Inkscape:7328): CRITICAL **: 19:44:44.226: static void Inkscape::DialogVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
DialogMetadata, Edit document metadata (to be saved with the document),TRUE,"WARNING: ignoring verb DialogMetadata - GUI required for this verb.

** (org.inkscape.Inkscape:14248): CRITICAL **: 19:44:46.641: static void Inkscape::DialogVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
DialogFillStroke," Edit objects' colors, gradients, arrowheads, and other fill and stroke properties... (Shift+Ctrl+F)",TRUE,"WARNING: ignoring verb DialogFillStroke - GUI required for this verb.

** (org.inkscape.Inkscape:17120): CRITICAL **: 19:44:49.082: static void Inkscape::DialogVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
DialogGlyphs, Select Unicode characters from a palette,TRUE,"WARNING: ignoring verb DialogGlyphs - GUI required for this verb.

** (org.inkscape.Inkscape:7152): CRITICAL **: 19:44:51.523: static void Inkscape::DialogVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
DialogSwatches, Select colors from a swatches palette (Shift+Ctrl+W),TRUE,"WARNING: ignoring verb DialogSwatches - GUI required for this verb.

** (org.inkscape.Inkscape:12952): CRITICAL **: 19:44:53.902: static void Inkscape::DialogVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
DialogSymbols, Select symbol from a symbols palette (Shift+Ctrl+Y),TRUE,"WARNING: ignoring verb DialogSymbols - GUI required for this verb.

** (org.inkscape.Inkscape:15012): CRITICAL **: 19:44:56.277: static void Inkscape::DialogVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
DialogPaintServers, Select paint server from a collection,TRUE,"WARNING: ignoring verb DialogPaintServers - GUI required for this verb.

** (org.inkscape.Inkscape:1628): CRITICAL **: 19:44:58.627: static void Inkscape::DialogVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
DialogTransform, Precisely control objects' transformations (Shift+Ctrl+M),TRUE,"WARNING: ignoring verb DialogTransform - GUI required for this verb.

** (org.inkscape.Inkscape:4912): CRITICAL **: 19:45:01.002: static void Inkscape::DialogVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
DialogAlignDistribute, Align and distribute objects (Shift+Ctrl+A),TRUE,"WARNING: ignoring verb DialogAlignDistribute - GUI required for this verb.

** (org.inkscape.Inkscape:1604): CRITICAL **: 19:45:03.422: static void Inkscape::DialogVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
DialogSprayOption, Some options for the spray,TRUE,"WARNING: ignoring verb DialogSprayOption - GUI required for this verb.

** (org.inkscape.Inkscape:13768): CRITICAL **: 19:45:05.702: static void Inkscape::DialogVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
DialogUndoHistory, Undo History (Shift+Ctrl+H),TRUE,"WARNING: ignoring verb DialogUndoHistory - GUI required for this verb.

** (org.inkscape.Inkscape:9220): CRITICAL **: 19:45:08.078: static void Inkscape::DialogVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
DialogText," View and select font family, font size and other text properties (Shift+Ctrl+T)",TRUE,"WARNING: ignoring verb DialogText - GUI required for this verb.

** (org.inkscape.Inkscape:15576): CRITICAL **: 19:45:10.447: static void Inkscape::DialogVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
DialogXMLEditor, View and edit the XML tree of the document (Shift+Ctrl+X),TRUE,"WARNING: ignoring verb DialogXMLEditor - GUI required for this verb.

** (org.inkscape.Inkscape:18832): CRITICAL **: 19:45:12.827: static void Inkscape::DialogVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
DialogSelectors, View and edit CSS selectors and styles (Shift+Ctrl+Q),TRUE,"WARNING: ignoring verb DialogSelectors - GUI required for this verb.

** (org.inkscape.Inkscape:15384): CRITICAL **: 19:45:15.343: static void Inkscape::DialogVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
DialogFind, Find objects in document (Ctrl+F),TRUE,"WARNING: ignoring verb DialogFind - GUI required for this verb.

** (org.inkscape.Inkscape:18160): CRITICAL **: 19:45:17.727: static void Inkscape::DialogVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
DialogSpellcheck, Check spelling of text in document (Ctrl+Alt+K),TRUE,"WARNING: ignoring verb DialogSpellcheck - GUI required for this verb.

** (org.inkscape.Inkscape:5428): CRITICAL **: 19:45:20.010: static void Inkscape::DialogVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
DialogDebug, View debug messages,TRUE,"WARNING: ignoring verb DialogDebug - GUI required for this verb.

** (org.inkscape.Inkscape:10292): CRITICAL **: 19:45:22.378: static void Inkscape::DialogVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
DialogsToggle, Show or hide all open dialogs (F12),TRUE,"WARNING: ignoring verb DialogsToggle - GUI required for this verb.

** (org.inkscape.Inkscape:11732): CRITICAL **: 19:45:24.902: static void Inkscape::DialogVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
DialogClonetiler," Create multiple clones of selected object, arranging them into a pattern or scattering",TRUE,"WARNING: ignoring verb DialogClonetiler - GUI required for this verb.

** (org.inkscape.Inkscape:18940): CRITICAL **: 19:45:27.297: static void Inkscape::DialogVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
DialogObjectAttributes, Edit the object attributes...,TRUE,"WARNING: ignoring verb DialogObjectAttributes - GUI required for this verb.

** (org.inkscape.Inkscape:19408): CRITICAL **: 19:45:29.627: static void Inkscape::DialogVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
DialogObjectProperties," Edit the ID, locked and visible status, and other object properties (Shift+Ctrl+O)",TRUE,"WARNING: ignoring verb DialogObjectProperties - GUI required for this verb.

** (org.inkscape.Inkscape:19116): CRITICAL **: 19:45:31.911: static void Inkscape::DialogVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
DialogInput," Configure extended input devices, such as a graphics tablet",TRUE,"WARNING: ignoring verb DialogInput - GUI required for this verb.

** (org.inkscape.Inkscape:18876): CRITICAL **: 19:45:34.412: static void Inkscape::DialogVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
org.inkscape.dialogs.extensioneditor, Query information about extensions,TRUE,"WARNING: ignoring verb org.inkscape.dialogs.extensioneditor - GUI required for this verb.

** (org.inkscape.Inkscape:20076): CRITICAL **: 19:45:36.798: static void Inkscape::DialogVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
DialogLayers, View Layers (Shift+Ctrl+L),TRUE,"WARNING: ignoring verb DialogLayers - GUI required for this verb.

** (org.inkscape.Inkscape:20308): CRITICAL **: 19:45:39.134: static void Inkscape::DialogVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
DialogObjects, View Objects,TRUE,"WARNING: ignoring verb DialogObjects - GUI required for this verb.

** (org.inkscape.Inkscape:14728): CRITICAL **: 19:45:41.524: static void Inkscape::DialogVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
DialogTags, View Tags,TRUE,"WARNING: ignoring verb DialogTags - GUI required for this verb.

** (org.inkscape.Inkscape:19576): CRITICAL **: 19:45:43.857: static void Inkscape::DialogVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
DialogStyle, View Style Dialog,TRUE,"WARNING: ignoring verb DialogStyle - GUI required for this verb.

** (org.inkscape.Inkscape:9456): CRITICAL **: 19:45:46.240: static void Inkscape::DialogVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
DialogLivePathEffect," Manage, edit, and apply path effects (Ctrl+&)",TRUE,"WARNING: ignoring verb DialogLivePathEffect - GUI required for this verb.

** (org.inkscape.Inkscape:19392): CRITICAL **: 19:45:48.577: static void Inkscape::DialogVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
DialogFilterEffects," Manage, edit, and apply SVG filters",TRUE,"WARNING: ignoring verb DialogFilterEffects - GUI required for this verb.

** (org.inkscape.Inkscape:3344): CRITICAL **: 19:45:50.920: static void Inkscape::DialogVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
DialogSVGFonts, Edit SVG fonts,TRUE,"WARNING: ignoring verb DialogSVGFonts - GUI required for this verb.

** (org.inkscape.Inkscape:16536): CRITICAL **: 19:45:53.345: static void Inkscape::DialogVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
DialogPrintColorsPreview, Select which color separations to render in Print Colors Preview rendermode,TRUE,"WARNING: ignoring verb DialogPrintColorsPreview - GUI required for this verb.

** (org.inkscape.Inkscape:19988): CRITICAL **: 19:45:55.688: static void Inkscape::DialogVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
DialogExport, Export this document or a selection as a PNG image (Shift+Ctrl+E),TRUE,"WARNING: ignoring verb DialogExport - GUI required for this verb.

** (org.inkscape.Inkscape:2456): CRITICAL **: 19:45:58.078: static void Inkscape::DialogVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
HelpAboutExtensions, Information on Inkscape extensions,TRUE,"WARNING: ignoring verb HelpAboutExtensions - GUI required for this verb.

** (org.inkscape.Inkscape:10220): CRITICAL **: 19:46:00.427: static void Inkscape::HelpVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
HelpAboutMemory, Memory usage information,TRUE,"WARNING: ignoring verb HelpAboutMemory - GUI required for this verb.

** (org.inkscape.Inkscape:16824): CRITICAL **: 19:46:02.838: static void Inkscape::HelpVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
HelpAbout," Inkscape version, authors, license",TRUE,"WARNING: ignoring verb HelpAbout - GUI required for this verb.

** (org.inkscape.Inkscape:9716): CRITICAL **: 19:46:05.194: static void Inkscape::HelpVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
HelpUrlAskQuestion, Ask Us a Question,TRUE,"WARNING: ignoring verb HelpUrlAskQuestion - GUI required for this verb.

** (org.inkscape.Inkscape:18472): CRITICAL **: 19:46:07.557: static void Inkscape::HelpUrlVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
HelpUrlMan, Command Line Options,TRUE,"WARNING: ignoring verb HelpUrlMan - GUI required for this verb.

** (org.inkscape.Inkscape:12076): CRITICAL **: 19:46:09.923: static void Inkscape::HelpUrlVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
HelpUrlFAQ, FAQ,TRUE,"WARNING: ignoring verb HelpUrlFAQ - GUI required for this verb.

** (org.inkscape.Inkscape:17876): CRITICAL **: 19:46:12.315: static void Inkscape::HelpUrlVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
HelpUrlKeys, Keys and Mouse Reference,TRUE,"WARNING: ignoring verb HelpUrlKeys - GUI required for this verb.

** (org.inkscape.Inkscape:10888): CRITICAL **: 19:46:14.749: static void Inkscape::HelpUrlVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
HelpUrlReleaseNotes, New in This Version,TRUE,"WARNING: ignoring verb HelpUrlReleaseNotes - GUI required for this verb.

** (org.inkscape.Inkscape:19012): CRITICAL **: 19:46:17.078: static void Inkscape::HelpUrlVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
HelpUrlReportBug, Report a Bug,TRUE,"WARNING: ignoring verb HelpUrlReportBug - GUI required for this verb.

** (org.inkscape.Inkscape:17012): CRITICAL **: 19:46:19.504: static void Inkscape::HelpUrlVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
HelpUrlManual, Inkscape Manual,TRUE,"WARNING: ignoring verb HelpUrlManual - GUI required for this verb.

** (org.inkscape.Inkscape:14100): CRITICAL **: 19:46:21.922: static void Inkscape::HelpUrlVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
HelpUrlSvg11Spec, SVG 1.1 Specification,TRUE,"WARNING: ignoring verb HelpUrlSvg11Spec - GUI required for this verb.

** (org.inkscape.Inkscape:540): CRITICAL **: 19:46:24.245: static void Inkscape::HelpUrlVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
HelpUrlSvg2Spec, SVG 2 Specification,TRUE,"WARNING: ignoring verb HelpUrlSvg2Spec - GUI required for this verb.

** (org.inkscape.Inkscape:15068): CRITICAL **: 19:46:26.537: static void Inkscape::HelpUrlVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
TutorialsBasic, Getting started with Inkscape,TRUE,"WARNING: ignoring verb TutorialsBasic - GUI required for this verb.

** (org.inkscape.Inkscape:12932): CRITICAL **: 19:46:29.127: static void Inkscape::TutorialVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
TutorialsShapes, Using shape tools to create and edit shapes,TRUE,"WARNING: ignoring verb TutorialsShapes - GUI required for this verb.

** (org.inkscape.Inkscape:5456): CRITICAL **: 19:46:31.520: static void Inkscape::TutorialVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
TutorialsAdvanced, Advanced Inkscape topics,TRUE,"WARNING: ignoring verb TutorialsAdvanced - GUI required for this verb.

** (org.inkscape.Inkscape:1896): CRITICAL **: 19:46:33.897: static void Inkscape::TutorialVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
TutorialsTracing, Using bitmap tracing,TRUE,"WARNING: ignoring verb TutorialsTracing - GUI required for this verb.

** (org.inkscape.Inkscape:7284): CRITICAL **: 19:46:36.360: static void Inkscape::TutorialVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
TutorialsTracingPixelArt, Using Trace Pixel Art dialog,TRUE,"WARNING: ignoring verb TutorialsTracingPixelArt - GUI required for this verb.

** (org.inkscape.Inkscape:6272): CRITICAL **: 19:46:38.737: static void Inkscape::TutorialVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
TutorialsCalligraphy, Using the Calligraphy pen tool,TRUE,"WARNING: ignoring verb TutorialsCalligraphy - GUI required for this verb.

** (org.inkscape.Inkscape:12052): CRITICAL **: 19:46:41.117: static void Inkscape::TutorialVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
TutorialsInterpolate, Using the interpolate extension,TRUE,"WARNING: ignoring verb TutorialsInterpolate - GUI required for this verb.

** (org.inkscape.Inkscape:7096): CRITICAL **: 19:46:43.527: static void Inkscape::TutorialVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
TutorialsDesign, Principles of design in the tutorial form,TRUE,"WARNING: ignoring verb TutorialsDesign - GUI required for this verb.

** (org.inkscape.Inkscape:1828): CRITICAL **: 19:46:45.942: static void Inkscape::TutorialVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
TutorialsTips, Miscellaneous tips and tricks,TRUE,"WARNING: ignoring verb TutorialsTips - GUI required for this verb.

** (org.inkscape.Inkscape:18356): CRITICAL **: 19:46:48.257: static void Inkscape::TutorialVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
EffectLast, Repeat the last extension with the same settings (Alt+Q),TRUE,"WARNING: ignoring verb EffectLast - GUI required for this verb.

** (org.inkscape.Inkscape:8928): CRITICAL **: 19:46:50.759: static void Inkscape::EffectLastVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
EffectLastPref, Repeat the last extension with new settings (Shift+Alt+Q),TRUE,"WARNING: ignoring verb EffectLastPref - GUI required for this verb.

** (org.inkscape.Inkscape:7360): CRITICAL **: 19:46:53.070: static void Inkscape::EffectLastVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
FitCanvasToSelection, Fit the page to the current selection,TRUE,"WARNING: ignoring verb FitCanvasToSelection - GUI required for this verb.

** (org.inkscape.Inkscape:19448): CRITICAL **: 19:46:55.387: static void Inkscape::FitCanvasVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
FitCanvasToDrawing, Fit the page to the drawing,TRUE,"WARNING: ignoring verb FitCanvasToDrawing - GUI required for this verb.

** (org.inkscape.Inkscape:14468): CRITICAL **: 19:46:57.717: static void Inkscape::FitCanvasVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
FitCanvasToSelectionOrDrawing, Fit the page to the current selection or the drawing if there is no selection (Shift+Ctrl+R),TRUE,"WARNING: ignoring verb FitCanvasToSelectionOrDrawing - GUI required for this verb.

** (org.inkscape.Inkscape:12888): CRITICAL **: 19:47:00.199: static void Inkscape::FitCanvasVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
UnlockAll, Unlock all objects in the current layer,TRUE,"WARNING: ignoring verb UnlockAll - GUI required for this verb.

** (org.inkscape.Inkscape:16064): CRITICAL **: 19:47:02.537: static void Inkscape::LockAndHideVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
UnlockAllInAllLayers, Unlock all objects in all layers,TRUE,"WARNING: ignoring verb UnlockAllInAllLayers - GUI required for this verb.

** (org.inkscape.Inkscape:18288): CRITICAL **: 19:47:04.847: static void Inkscape::LockAndHideVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
UnhideAll, Unhide all objects in the current layer,TRUE,"WARNING: ignoring verb UnhideAll - GUI required for this verb.

** (org.inkscape.Inkscape:18844): CRITICAL **: 19:47:07.231: static void Inkscape::LockAndHideVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
UnhideAllInAllLayers, Unhide all objects in all layers,TRUE,"WARNING: ignoring verb UnhideAllInAllLayers - GUI required for this verb.

** (org.inkscape.Inkscape:1572): CRITICAL **: 19:47:09.607: static void Inkscape::LockAndHideVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
LinkColorProfile, Link an ICC color profile,TRUE,"WARNING: ignoring verb LinkColorProfile - GUI required for this verb.

** (org.inkscape.Inkscape:15480): CRITICAL **: 19:47:11.927: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
RemoveColorProfile, Remove a linked ICC color profile,TRUE,"WARNING: ignoring verb RemoveColorProfile - GUI required for this verb.

** (org.inkscape.Inkscape:18880): CRITICAL **: 19:47:14.307: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
AddExternalScript, Add an external script,TRUE,"WARNING: ignoring verb AddExternalScript - GUI required for this verb.

** (org.inkscape.Inkscape:8988): CRITICAL **: 19:47:16.667: static void Inkscape::ContextVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
AddEmbeddedScript, Add an embedded script,TRUE,"WARNING: ignoring verb AddEmbeddedScript - GUI required for this verb.

** (org.inkscape.Inkscape:16844): CRITICAL **: 19:47:19.062: static void Inkscape::ContextVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
EditEmbeddedScript, Edit an embedded script,TRUE,"WARNING: ignoring verb EditEmbeddedScript - GUI required for this verb.

** (org.inkscape.Inkscape:4144): CRITICAL **: 19:47:21.377: static void Inkscape::ContextVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
RemoveExternalScript, Remove an external script,TRUE,"WARNING: ignoring verb RemoveExternalScript - GUI required for this verb.

** (org.inkscape.Inkscape:19224): CRITICAL **: 19:47:23.677: static void Inkscape::ContextVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
RemoveEmbeddedScript, Remove an embedded script,TRUE,"WARNING: ignoring verb RemoveEmbeddedScript - GUI required for this verb.

** (org.inkscape.Inkscape:11516): CRITICAL **: 19:47:26.109: static void Inkscape::ContextVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
AlignHorizontalRightToAnchor, Align right edges of objects to the left edge of the anchor,TRUE,"WARNING: ignoring verb AlignHorizontalRightToAnchor - GUI required for this verb.

** (org.inkscape.Inkscape:14524): CRITICAL **: 19:47:28.408: static void Inkscape::ContextVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
AlignHorizontalLeft, Align left edges (Ctrl+Alt+4),TRUE,"WARNING: ignoring verb AlignHorizontalLeft - GUI required for this verb.

** (org.inkscape.Inkscape:18952): CRITICAL **: 19:47:30.737: static void Inkscape::ContextVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
AlignHorizontalCenter, Center on vertical axis (Ctrl+Alt+H),TRUE,"WARNING: ignoring verb AlignHorizontalCenter - GUI required for this verb.

** (org.inkscape.Inkscape:18648): CRITICAL **: 19:47:33.032: static void Inkscape::ContextVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
AlignHorizontalRight, Align right sides (Ctrl+Alt+6),TRUE,"WARNING: ignoring verb AlignHorizontalRight - GUI required for this verb.

** (org.inkscape.Inkscape:16584): CRITICAL **: 19:47:35.467: static void Inkscape::ContextVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
AlignHorizontalLeftToAnchor, Align left edges of objects to the right edge of the anchor,TRUE,"WARNING: ignoring verb AlignHorizontalLeftToAnchor - GUI required for this verb.

** (org.inkscape.Inkscape:15116): CRITICAL **: 19:47:37.827: static void Inkscape::ContextVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
AlignVerticalBottomToAnchor, Align bottom edges of objects to the top edge of the anchor,TRUE,"WARNING: ignoring verb AlignVerticalBottomToAnchor - GUI required for this verb.

** (org.inkscape.Inkscape:13156): CRITICAL **: 19:47:40.152: static void Inkscape::ContextVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
AlignVerticalTop, Align top edges (Ctrl+Alt+8),TRUE,"WARNING: ignoring verb AlignVerticalTop - GUI required for this verb.

** (org.inkscape.Inkscape:3308): CRITICAL **: 19:47:42.547: static void Inkscape::ContextVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
AlignVerticalCenter, Center on horizontal axis (Ctrl+Alt+T),TRUE,"WARNING: ignoring verb AlignVerticalCenter - GUI required for this verb.

** (org.inkscape.Inkscape:18388): CRITICAL **: 19:47:44.939: static void Inkscape::ContextVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
AlignVerticalBottom, Align bottom edges (Ctrl+Alt+2),TRUE,"WARNING: ignoring verb AlignVerticalBottom - GUI required for this verb.

** (org.inkscape.Inkscape:15660): CRITICAL **: 19:47:47.357: static void Inkscape::ContextVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
AlignVerticalTopToAnchor, Align top edges of objects to the bottom edge of the anchor,TRUE,"WARNING: ignoring verb AlignVerticalTopToAnchor - GUI required for this verb.

** (org.inkscape.Inkscape:12384): CRITICAL **: 19:47:49.707: static void Inkscape::ContextVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
AlignBothTopLeft, Align edges of objects to the top-left corner of the anchor,TRUE,"WARNING: ignoring verb AlignBothTopLeft - GUI required for this verb.

** (org.inkscape.Inkscape:9220): CRITICAL **: 19:47:52.050: static void Inkscape::ContextVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
AlignBothTopRight, Align edges of objects to the top-right corner of the anchor,TRUE,"WARNING: ignoring verb AlignBothTopRight - GUI required for this verb.

** (org.inkscape.Inkscape:14784): CRITICAL **: 19:47:54.372: static void Inkscape::ContextVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
AlignBothBottomRight, Align edges of objects to the bottom-right corner of the anchor,TRUE,"WARNING: ignoring verb AlignBothBottomRight - GUI required for this verb.

** (org.inkscape.Inkscape:11180): CRITICAL **: 19:47:56.722: static void Inkscape::ContextVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
AlignBothBottomLeft, Align edges of objects to the bottom-left corner of the anchor,TRUE,"WARNING: ignoring verb AlignBothBottomLeft - GUI required for this verb.

** (org.inkscape.Inkscape:18084): CRITICAL **: 19:47:59.106: static void Inkscape::ContextVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
AlignBothTopLeftToAnchor, Align edges of objects to the top-left corner of the anchor,TRUE,"WARNING: ignoring verb AlignBothTopLeftToAnchor - GUI required for this verb.

** (org.inkscape.Inkscape:5640): CRITICAL **: 19:48:01.487: static void Inkscape::ContextVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
AlignBothTopRightToAnchor, Align edges of objects to the top-right corner of the anchor,TRUE,"WARNING: ignoring verb AlignBothTopRightToAnchor - GUI required for this verb.

** (org.inkscape.Inkscape:19476): CRITICAL **: 19:48:03.857: static void Inkscape::ContextVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
AlignBothBottomRightToAnchor, Align edges of objects to the bottom-right corner of the anchor,TRUE,"WARNING: ignoring verb AlignBothBottomRightToAnchor - GUI required for this verb.

** (org.inkscape.Inkscape:9780): CRITICAL **: 19:48:06.207: static void Inkscape::ContextVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
AlignBothBottomLeftToAnchor, Align edges of objects to the bottom-left corner of the anchor,TRUE,"WARNING: ignoring verb AlignBothBottomLeftToAnchor - GUI required for this verb.

** (org.inkscape.Inkscape:8644): CRITICAL **: 19:48:08.607: static void Inkscape::ContextVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
